epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,34272,0.49435,0.3828,1.57674,0.73377,0.70423,0.75359,0.57429,0.95237,1.16937,2.13547,0.000478762,0.000478762,0.000478762
74,34722,0.49054,0.38808,1.55121,0.72372,0.71281,0.76404,0.57288,0.95184,1.09965,2.17114,0.000462259,0.000462259,0.000462259
75,35167.9,0.49026,0.38217,1.55643,0.76657,0.6765,0.74955,0.55643,0.96734,1.15543,2.16926,0.000445756,0.000445756,0.000445756
76,35613.2,0.49245,0.40402,1.54902,0.76262,0.6678,0.72709,0.55077,0.95135,1.20081,2.15572,0.000429253,0.000429253,0.000429253
77,36063.9,0.49897,0.40852,1.55261,0.74565,0.69929,0.73708,0.5473,0.9626,1.21972,2.11693,0.000412749,0.000412749,0.000412749
78,36514.4,0.4679,0.39193,1.54108,0.72696,0.69293,0.73811,0.54393,0.94804,1.17376,2.16124,0.000396246,0.000396246,0.000396246
79,36966.8,0.47872,0.37238,1.56886,0.74291,0.68126,0.74484,0.56208,0.95526,1.27722,2.13424,0.000379743,0.000379743,0.000379743
80,37430.5,0.48034,0.37708,1.59538,0.79236,0.65562,0.74214,0.55071,0.95871,1.24046,2.13284,0.000363239,0.000363239,0.000363239
81,37886.7,0.48236,0.37763,1.53883,0.77468,0.69693,0.74454,0.55239,0.9452,1.19406,2.13907,0.000346736,0.000346736,0.000346736
82,38337.9,0.47573,0.38224,1.53142,0.72603,0.72159,0.75274,0.55771,0.9574,1.14064,2.14416,0.000330233,0.000330233,0.000330233
83,38792.6,0.4746,0.36488,1.54468,0.70362,0.71069,0.74521,0.56302,0.95956,1.16668,2.14505,0.000313729,0.000313729,0.000313729
84,39241,0.47278,0.36721,1.55391,0.75087,0.68703,0.75238,0.56458,0.95653,1.17821,2.14782,0.000297226,0.000297226,0.000297226
85,39695.5,0.458,0.35571,1.5768,0.77237,0.64677,0.75147,0.56353,0.94835,1.18855,2.13368,0.000280723,0.000280723,0.000280723
86,40144.9,0.47064,0.36167,1.54255,0.74131,0.69333,0.76063,0.5696,0.96036,1.14912,2.16171,0.00026422,0.00026422,0.00026422
87,40597.7,0.46633,0.35568,1.57261,0.74517,0.66945,0.75674,0.56857,0.96314,1.18928,2.15323,0.000247716,0.000247716,0.000247716
88,41045.4,0.46728,0.35873,1.56156,0.73879,0.69435,0.76344,0.57897,0.94784,1.15642,2.14018,0.000231213,0.000231213,0.000231213
89,41499.3,0.45594,0.35346,1.54206,0.77856,0.6765,0.74743,0.5593,0.96264,1.22547,2.13563,0.00021471,0.00021471,0.00021471
90,41947.9,0.46155,0.35793,1.58242,0.75182,0.7078,0.75715,0.57885,0.93927,1.16369,2.16056,0.000198206,0.000198206,0.000198206
91,42396.5,0.41713,0.31432,1.50383,0.75867,0.71011,0.75929,0.57276,0.94241,1.12689,2.12954,0.000181703,0.000181703,0.000181703
92,42835.3,0.41238,0.29442,1.50618,0.77868,0.67109,0.7557,0.57504,0.937,1.14908,2.14497,0.0001652,0.0001652,0.0001652
93,43277.1,0.38155,0.29575,1.52967,0.77504,0.6738,0.7654,0.58022,0.94668,1.2001,2.15315,0.000148696,0.000148696,0.000148696
94,43719.8,0.39166,0.28766,1.51115,0.79,0.677,0.76313,0.5796,0.9442,1.16064,2.14646,0.000132193,0.000132193,0.000132193
95,44158.4,0.38133,0.30276,1.51306,0.79756,0.6678,0.76053,0.57555,0.94647,1.18563,2.15346,0.00011569,0.00011569,0.00011569
96,44602.2,0.37003,0.28656,1.52369,0.77839,0.69224,0.75452,0.5735,0.95317,1.17125,2.15064,9.91865e-05,9.91865e-05,9.91865e-05
97,45043.7,0.40978,0.35085,1.52941,0.81371,0.68023,0.76144,0.57516,0.95327,1.15553,2.14445,8.26832e-05,8.26832e-05,8.26832e-05
98,45487.5,0.36827,0.28496,1.51105,0.78234,0.68085,0.75845,0.5749,0.95143,1.17108,2.13073,6.61799e-05,6.61799e-05,6.61799e-05
99,45925.9,0.36703,0.27549,1.51203,0.78996,0.68164,0.75946,0.57796,0.94545,1.17482,2.13891,4.96766e-05,4.96766e-05,4.96766e-05
100,46384.5,0.36728,0.27406,1.52648,0.77588,0.68892,0.75961,0.57997,0.94331,1.16772,2.14624,3.31733e-05,3.31733e-05,3.31733e-05
